scenario_code,deployment_mw_gini,fuel_poverty_proxy_gini,targeting_ratio_top30,poverty_deployment_corr,active_lsoas,total_mw
SA,0.8249901499284574,0.2739325629703866,1.7029183208508525,0.32280867080230186,30,371.84
SB,0.8249901499284574,0.2739325629703866,1.4900535307444958,0.23140835300472185,30,371.84000000000003
SC,0.831054193892274,0.2739325629703866,1.3291262881097414,0.15128837453973706,29,367.08000000000004
SD,0.8249901499284574,0.2739325629703866,1.5964859257976738,0.2730385221192992,30,371.84000000000003
