lsoa_id,lsoa_name,population_effective,fuel_poverty_rate_effective,deprivation_score,income_effective,base_demand_kw,asset_total_mw,ec_count,active,fuel_poor_households_proxy
E01016773,E01016773,1934,0.0365,9.241,53891,269798.09400217084,0.0,0.0,False,70.591
E01016774,E01016774,1781,0.048,7.274,70064,343287.7816484519,0.0,0.0,False,85.488
E01016775,E01016775,1739,0.0644,11.582,70064,297268.3252881952,0.0,0.0,False,111.99159999999999
E01016776,E01016776,1483,0.0368,5.189,63704,196456.65689110957,0.0,0.0,False,54.5744
E01016777,E01016777,1625,0.0504,13.368,70064,204936.32184731885,0.0,0.0,False,81.9
E01016778,E01016778,1629,0.0557,11.568,70064,253593.64004042215,0.0,0.0,False,90.7353
E01016780,E01016780,1852,0.049,8.624,77951,269438.2430072113,0.0,0.0,False,90.748
E01016781,E01016781,1345,0.0324,4.945,77951,307964.4362227711,0.0,0.0,False,43.577999999999996
E01016783,E01016783,1979,0.0516999999999999,10.428,66412,235925.1128702249,0.0,0.0,False,102.3142999999998
E01016784,E01016784,1817,0.0833,26.221,66405,327926.07227462076,0.0,0.0,False,151.3561
E01016786,E01016786,1519,0.089,9.222,58655,234497.38857137505,0.0,0.0,False,135.191
E01016787,E01016787,1752,0.091,20.128,58655,247752.39086383712,0.0,0.0,False,159.432
E01016788,E01016788,1571,0.0538,7.999,58655,244936.3828960502,0.0,0.0,False,84.5198
E01016789,E01016789,1236,0.0512,12.262,58655,204244.80083277175,0.0,0.0,False,63.2832
E01016790,E01016790,1443,0.0657,7.921,58655,242153.0227268758,0.0,0.0,False,94.8051
E01016791,E01016791,1420,0.0473,7.386,64725,252549.4690951169,0.0,0.0,False,67.166
E01016792,E01016792,1246,0.0409,5.609,64725,187722.91474598905,0.0,0.0,False,50.9614
E01016793,E01016793,2140,0.0675,7.418,64725,292050.8916148913,0.0,0.0,False,144.45000000000002
E01016794,E01016794,1710,0.0868999999999999,7.281,64725,332431.0706327815,0.0,0.0,False,148.59899999999982
E01016795,E01016795,1529,0.0988,9.333,64725,244726.62337437936,0.0,0.0,False,151.0652
E01016796,E01016796,1730,0.1079,4.332,70722,288867.1469727029,0.0,0.0,False,186.667
E01016797,E01016797,1768,0.1008,8.888,70722,401991.1255751429,0.0,0.0,False,178.2144
E01016798,E01016798,1964,0.0486,2.795,70722,349978.8214680486,0.0,0.0,False,95.4504
E01016799,E01016799,2387,0.0926999999999999,9.995,70722,520472.087512164,0.0,0.0,False,221.27489999999975
E01016800,E01016800,1996,0.1258,7.833,70722,417705.9552523893,0.0,0.0,False,251.0968
E01016801,E01016801,1336,0.1374,9.062,65600,296442.56767347833,0.0,0.0,False,183.5664
E01016802,E01016802,1444,0.115,15.036,65600,455587.0129120193,0.0,0.0,False,166.06
E01016803,E01016803,1395,0.1314,19.776,65600,452778.6585354444,0.0,0.0,False,183.303
E01016804,E01016804,2009,0.0888,28.053,50459,391093.4924507821,0.0,0.0,False,178.3992
E01016805,E01016805,1289,0.0389,9.516,60538,205152.04759333987,0.0,0.0,False,50.1421
E01016806,E01016806,1982,0.1301,37.746,49056,256972.3835778623,0.0,0.0,False,257.8582
E01016807,E01016807,1860,0.1018,18.329,49056,243329.41579022876,0.0,0.0,False,189.348
E01016808,E01016808,1411,0.0642,8.112,60538,197276.0382663372,0.0,0.0,False,90.58619999999999
E01016809,E01016809,1363,0.0933,20.25,49056,192891.28916086516,0.0,0.0,False,127.16789999999999
E01016810,E01016810,1501,0.1057,43.756,45500,184259.62794433208,0.0,0.0,False,158.6557
E01016811,E01016811,1515,0.1518,47.948,45500,189349.80953102777,0.0,0.0,False,229.97699999999998
E01016812,E01016812,1553,0.0808,17.216,59138,226454.4686322581,0.0,0.0,False,125.4824
E01016813,E01016813,1388,0.0596999999999999,16.177,63704,390561.44942236174,0.0,0.0,False,82.86359999999986
E01016815,E01016815,1289,0.046,10.283,63704,161364.5914739128,0.0,0.0,False,59.294
E01016816,E01016816,1587,0.0378,5.184,63704,245328.09800758553,0.0,0.0,False,59.9886
E01016817,E01016817,1494,0.1141,16.06,59138,210205.75397671983,0.0,0.0,False,170.4654
E01016818,E01016818,1827,0.1042,10.882,59138,362025.24301781575,0.0,0.0,False,190.3734
E01016819,E01016819,1329,0.1408,33.543,45500,148253.4077638047,0.0,0.0,False,187.1232
E01016820,E01016820,1936,0.0455999999999999,13.468,66412,359320.90688549535,0.0,0.0,False,88.2815999999998
E01016821,E01016821,1580,0.0467999999999999,13.637,66412,192156.61526623744,0.0,0.0,False,73.94399999999983
E01016822,E01016822,1826,0.0556,21.631,65264,343620.9038082942,0.0,0.0,False,101.5256
E01016823,E01016823,1709,0.0624,12.233,66412,379474.03489657387,0.0,0.0,False,106.6416
E01016824,E01016824,1578,0.045,14.933,65264,300284.9831405795,0.0,0.0,False,71.00999999999999
