lsoa_id,lsoa_name,lad_name,population,income_avg,poverty_index,base_demand_kw,ec_count_SA,asset_total_mw_SA,active_SA,ec_count_SB,asset_total_mw_SB,active_SB,ec_count_SC,asset_total_mw_SC,active_SC,ec_count_SD,asset_total_mw_SD,active_SD
E01016755,E01016755,Milton Keynes,1838,82345,0.0549,309097.45878496376,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016756,E01016756,Milton Keynes,2167,58540,0.0544,377975.99299161613,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True
E01016757,E01016757,Milton Keynes,1510,58540,0.0487,201796.04316191343,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016758,E01016758,Milton Keynes,1636,58540,0.0426,261462.02773473563,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016759,E01016759,Milton Keynes,1871,65600,0.0929,380662.1651838961,0.0,0.0,False,20.0,12.8,True,0.0,0.0,False,0.0,0.0,False
E01016761,E01016761,Milton Keynes,1774,65600,0.1123,337602.5059834818,0.0,0.0,False,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True
E01016762,E01016762,Milton Keynes,1349,57173,0.0779,206840.07579971087,20.0,12.8,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016763,E01016763,Milton Keynes,1290,53891,0.048,213897.4218797566,0.0,0.0,False,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True
E01016764,E01016764,Milton Keynes,1413,57173,0.0493,218991.357417596,0.0,0.0,False,20.0,12.8,True,20.0,12.8,True,20.0,12.8,True
E01016765,E01016765,Milton Keynes,1593,50459,0.0742,261316.3128409061,20.0,12.8,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016766,E01016766,Milton Keynes,1370,57173,0.063,171913.51763230775,1.0,0.64,True,0.0,0.0,False,20.0,12.8,True,1.0,0.64,True
E01016767,E01016767,Milton Keynes,1275,57173,0.0353,213073.25084462416,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016768,E01016768,Milton Keynes,2799,57046,0.055,572020.2829272402,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016769,E01016769,Milton Keynes,1308,53891,0.0407,247439.92920440657,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016770,E01016770,Milton Keynes,1501,53891,0.0444,226186.09119632203,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016771,E01016771,Milton Keynes,1419,57173,0.0765,171632.6042480725,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016772,E01016772,Milton Keynes,1420,50459,0.069,175914.7139643686,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016773,E01016773,Milton Keynes,1934,53891,0.0365,269798.09400217084,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016774,E01016774,Milton Keynes,1781,70064,0.048,343287.7816484519,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016775,E01016775,Milton Keynes,1739,70064,0.0644,297268.3252881952,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016776,E01016776,Milton Keynes,1483,63704,0.0368,196456.65689110957,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016777,E01016777,Milton Keynes,1625,70064,0.0504,204936.32184731885,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016778,E01016778,Milton Keynes,1629,70064,0.0557,253593.64004042215,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016780,E01016780,Milton Keynes,1852,77951,0.049,269438.2430072113,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016781,E01016781,Milton Keynes,1345,77951,0.0324,307964.4362227711,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016783,E01016783,Milton Keynes,1979,66412,0.0516999999999999,235925.1128702249,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016784,E01016784,Milton Keynes,1817,66405,0.0833,327926.07227462076,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016786,E01016786,Milton Keynes,1519,58655,0.089,234497.38857137505,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016787,E01016787,Milton Keynes,1752,58655,0.091,247752.39086383712,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016788,E01016788,Milton Keynes,1571,58655,0.0538,244936.3828960502,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016789,E01016789,Milton Keynes,1236,58655,0.0512,204244.80083277175,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016790,E01016790,Milton Keynes,1443,58655,0.0657,242153.0227268758,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016791,E01016791,Milton Keynes,1420,64725,0.0473,252549.4690951169,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016792,E01016792,Milton Keynes,1246,64725,0.0409,187722.91474598905,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016793,E01016793,Milton Keynes,2140,64725,0.0675,292050.8916148913,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016794,E01016794,Milton Keynes,1710,64725,0.0868999999999999,332431.0706327815,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016795,E01016795,Milton Keynes,1529,64725,0.0988,244726.62337437936,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016796,E01016796,Milton Keynes,1730,70722,0.1079,288867.1469727029,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016797,E01016797,Milton Keynes,1768,70722,0.1008,401991.1255751429,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016798,E01016798,Milton Keynes,1964,70722,0.0486,349978.8214680486,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016799,E01016799,Milton Keynes,2387,70722,0.0926999999999999,520472.087512164,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
E01016800,E01016800,Milton Keynes,1996,70722,0.1258,417705.9552523893,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
